City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
fortuna,0.0,ES,1551657870,76.0,38.18,-1.13,57.99,2.24
esperance,75.0,TT,1551657616,88.0,10.24,-61.45,75.2,10.29
troitskoye,48.0,RU,1551658423,96.0,52.98,84.68,27.8,4.41
san francisco,90.0,US,1551658142,87.0,37.78,-122.42,55.99,6.93
conceicao do araguaia,32.0,BR,1551658424,94.0,-8.26,-49.26,75.73,5.75
cape town,0.0,ZA,1551658372,82.0,-33.93,18.42,66.99,5.82
vila franca do campo,40.0,PT,1551658393,62.0,37.72,-25.43,57.2,10.29
atar,0.0,MR,1551657972,23.0,20.52,-13.05,61.55,8.88
rungata,,,,,,,,
sao filipe,0.0,CV,1551658425,91.0,14.9,-24.5,71.77,16.82
najran,5.0,SA,1551654000,24.0,17.54,44.22,66.2,2.39
vaini,0.0,IN,1551657904,85.0,15.34,74.49,58.09,1.16
khed brahma,0.0,IN,1551658426,65.0,24.03,73.05,54.94,3.06
alofi,92.0,NU,1551654000,70.0,-19.06,-169.92,84.2,3.36
saint-philippe,75.0,CA,1551657853,68.0,45.36,-73.48,28.99,4.7
marsa matruh,40.0,EG,1551654000,87.0,31.35,27.25,53.6,4.7
vaitupu,,,,,,,,
omboue,92.0,GA,1551657893,99.0,-1.57,9.26,83.83,8.77
mar del plata,24.0,AR,1551658427,42.0,-46.43,-67.52,60.65,18.39
butaritari,92.0,KI,1551657854,100.0,3.07,172.79,79.33,10.45
bubaque,0.0,GW,1551658427,88.0,11.28,-15.83,78.97,11.12
lompoc,90.0,US,1551657937,77.0,34.64,-120.46,61.0,9.17
khvorostyanka,92.0,RU,1551658428,88.0,52.62,48.95,20.56,17.05
norwich,80.0,GB,1551658385,66.0,52.63,1.29,50.0,25.28
yagodnoye,44.0,RU,1551658428,63.0,62.52,149.63,-10.5,2.84
kodinar,8.0,IN,1551658429,94.0,20.79,70.7,64.12,5.3
north bend,1.0,US,1551658225,66.0,43.41,-124.22,51.01,18.34
mount darwin,32.0,ZW,1551658429,68.0,-16.77,31.58,71.59,5.41
gloucester,40.0,GB,1551658265,81.0,51.87,-2.25,44.01,19.46
east london,0.0,ZA,1551658430,100.0,-33.02,27.91,74.83,16.37
vasai,0.0,IN,1551658430,86.0,22.43,69.93,61.1,6.87
boralday,90.0,KZ,1551655800,100.0,43.36,76.86,26.6,2.24
lebu,40.0,ET,1551654000,77.0,8.96,38.73,60.8,9.17
georgetown,75.0,GY,1551654000,83.0,6.8,-58.16,80.6,9.17
hare bay,75.0,CA,1551658368,78.0,48.86,-53.99,17.6,6.93
atuona,0.0,PF,1551657855,100.0,-9.8,-139.03,81.49,12.12
sovetskiy,80.0,RU,1551657972,85.0,56.76,48.47,17.23,3.74
hermanus,0.0,ZA,1551657653,84.0,-34.42,19.24,64.0,3.0
kuryk,0.0,KZ,1551658432,97.0,43.18,51.68,28.88,2.73
lasa,75.0,CY,1551655800,93.0,34.92,32.53,51.8,6.93
yakeshi,36.0,CN,1551658432,70.0,49.28,120.73,16.33,5.64
new norfolk,75.0,AU,1551658395,34.0,-42.78,147.06,70.0,11.41
fenyi,48.0,CN,1551658433,93.0,27.82,114.69,39.86,1.61
atasu,88.0,KZ,1551658433,90.0,48.68,71.64,31.13,15.7
khorramshahr,0.0,IR,1551654000,66.0,30.43,48.18,53.6,2.24
guerrero negro,0.0,MX,1551658434,71.0,27.97,-114.04,63.8,16.37
oshnaviyeh,40.0,IR,1551654000,69.0,37.04,45.1,35.6,4.7
tuatapere,56.0,NZ,1551657908,70.0,-46.13,167.69,64.16,22.3
lolua,,,,,,,,
nazira,90.0,IN,1551655800,93.0,26.91,94.73,60.8,0.38
tsihombe,,,,,,,,
nuuk,0.0,GL,1551657000,92.0,64.17,-51.74,21.2,4.7
kibaya,40.0,RW,1551658373,82.0,-2.2,30.56,64.4,3.36
komyshnya,,,,,,,,
lazaro cardenas,5.0,MX,1551658381,14.0,28.39,-105.62,84.2,9.17
kuzovatovo,64.0,RU,1551658437,82.0,53.54,47.69,21.55,14.7
vardo,90.0,US,1551657919,94.0,39.62,-77.74,34.0,6.93
tumannyy,,,,,,,,
ituacu,44.0,BR,1551658438,81.0,-13.81,-41.3,71.95,5.64
kapaa,90.0,US,1551657808,53.0,22.08,-159.32,78.8,16.11
balabac,44.0,PH,1551658438,100.0,7.99,117.06,79.73,10.56
san matias,75.0,HN,1551654000,42.0,13.97,-86.63,80.6,4.7
dano,0.0,BF,1551658439,28.0,11.14,-3.06,69.34,5.41
krasnoarmeysk,0.0,RU,1551655800,92.0,56.12,38.15,19.4,8.1
puerto ayora,75.0,EC,1551654000,74.0,-0.74,-90.35,84.2,11.41
kaitangata,0.0,NZ,1551657889,67.0,-46.28,169.85,69.61,10.45
karaul,,,,,,,,
avarua,68.0,CK,1551655800,66.0,-21.21,-159.78,84.2,9.17
tautira,20.0,PF,1551655800,62.0,-17.73,-149.15,89.6,5.82
sentyabrskiy,,,,,,,,
tiksi,44.0,RU,1551657856,67.0,71.64,128.87,-5.14,9.22
provideniya,90.0,RU,1551655800,92.0,64.42,-173.23,30.2,38.03
nanortalik,80.0,GL,1551657936,100.0,60.14,-45.24,27.08,7.99
pascagoula,90.0,US,1551658381,82.0,30.37,-88.56,62.01,8.05
arrecife,,,,,,,,
loiza,20.0,PR,1551658273,78.0,18.43,-65.88,78.8,11.41
khatanga,32.0,RU,1551657884,70.0,71.98,102.47,-1.99,17.27
inirida,12.0,CO,1551658443,88.0,3.87,-67.92,78.07,2.62
yellowknife,40.0,CA,1551654000,39.0,62.45,-114.38,12.2,5.82
chabahar,0.0,IR,1551658443,100.0,25.29,60.65,67.4,13.91
bac lieu,,,,,,,,
tuensang,92.0,IN,1551658444,99.0,26.24,94.81,52.51,0.83
iqaluit,75.0,CA,1551657767,69.0,63.75,-68.52,-7.01,5.82
alice springs,32.0,AU,1551655800,18.0,-23.7,133.88,89.6,5.82
el balyana,,,,,,,,
bredasdorp,0.0,ZA,1551654000,87.0,-34.53,20.04,59.0,5.82
diu,8.0,IN,1551658445,94.0,20.71,70.98,64.12,5.3
uwayl,,,,,,,,
imeni poliny osipenko,0.0,RU,1551658445,66.0,52.42,136.49,7.87,1.95
kiruna,0.0,SE,1551655200,83.0,67.86,20.23,-7.61,11.41
hoquiam,1.0,US,1551658212,31.0,46.98,-123.89,50.0,10.29
haguenau,0.0,FR,1551658389,75.0,48.82,7.79,55.4,3.36
codrington,92.0,AU,1551657974,73.0,-28.95,153.24,80.6,5.19
hamilton,75.0,BM,1551657675,94.0,32.3,-64.78,68.0,6.93
tolaga bay,0.0,NZ,1551658447,58.0,-38.37,178.3,72.04,3.4
thompson,90.0,CA,1551654000,60.0,55.74,-97.86,6.8,13.87
palabuhanratu,,,,,,,,
pisco,75.0,PE,1551654000,30.0,-13.71,-76.2,71.6,19.46
sumbe,92.0,AO,1551658449,100.0,-11.2,13.84,78.11,4.74
hithadhoo,88.0,MV,1551657866,99.0,-0.6,73.08,83.6,11.23
alta floresta,8.0,BR,1551658449,92.0,-9.87,-56.08,76.0,2.06
arraial do cabo,88.0,BR,1551658449,95.0,-22.97,-42.02,78.79,7.2
parkes,8.0,AU,1551658225,33.0,-33.14,148.18,88.0,1.99
cidreira,20.0,BR,1551657884,79.0,-30.17,-50.22,73.66,11.01
port alfred,0.0,ZA,1551658224,90.0,-33.59,26.89,66.99,8.77
mount gambier,8.0,AU,1551654000,82.0,-37.83,140.78,64.4,8.05
beringovskiy,56.0,RU,1551657929,92.0,63.05,179.32,33.56,17.83
wisconsin rapids,1.0,US,1551658326,54.0,44.39,-89.82,5.0,6.93
ozgon,,,,,,,,
san isidro,12.0,PH,1551658453,83.0,16.74,121.63,71.63,2.62
bilibino,68.0,RU,1551658015,60.0,68.06,166.44,-8.07,3.06
karpogory,68.0,RU,1551658454,73.0,64.0,44.44,9.98,2.95
osmena,24.0,PH,1551658454,100.0,12.17,124.59,76.76,4.52
trelew,100.0,AR,1551657740,26.0,-43.25,-65.31,73.39,6.76
rawannawi,,,,,,,,
chuy,0.0,UY,1551657874,82.0,-33.69,-53.46,66.37,11.23
cumberland,90.0,US,1551658216,69.0,41.97,-71.43,37.0,5.82
carnarvon,0.0,ZA,1551657920,58.0,-30.97,22.13,57.19,3.4
sitka,56.0,US,1551657629,76.0,37.17,-99.65,8.01,8.99
airai,8.0,TL,1551657892,82.0,-8.93,125.41,75.82,1.61
majene,20.0,ID,1551658456,96.0,-3.54,118.97,82.25,6.64
burns lake,0.0,CA,1551658456,40.0,54.23,-125.76,14.89,3.06
mount isa,0.0,AU,1551655800,40.0,-20.73,139.49,86.0,11.41
beloha,0.0,MG,1551657983,90.0,-25.17,45.06,71.41,3.51
moerai,0.0,PF,1551658457,100.0,-22.43,-151.33,80.41,8.77
ifakara,64.0,TZ,1551658457,96.0,-8.13,36.68,71.86,2.06
valparaiso,1.0,US,1551658370,61.0,41.47,-87.06,19.4,11.41
pacific grove,90.0,US,1551658144,87.0,36.62,-121.92,57.2,10.29
saskylakh,76.0,RU,1551657991,54.0,71.97,114.09,-19.27,3.96
svetlaya,12.0,RU,1551658458,100.0,46.54,138.33,26.45,1.28
zholymbet,80.0,KZ,1551658458,90.0,51.74,71.71,29.56,11.34
narimanov,0.0,RU,1551655800,86.0,46.69,47.85,28.4,6.71
dunedin,0.0,NZ,1551658191,67.0,-45.87,170.5,66.99,3.0
iberia,64.0,PE,1551658459,54.0,-11.41,-69.49,87.16,2.51
lipari,20.0,IT,1551658206,81.0,38.47,14.95,54.0,3.36
along,76.0,IN,1551658460,89.0,28.17,94.8,48.95,1.95
pevek,68.0,RU,1551657900,87.0,69.7,170.27,4.4,9.22
syumsi,68.0,RU,1551658460,90.0,57.11,51.61,14.75,3.74
grand river south east,,,,,,,,
tigil,88.0,RU,1551658461,82.0,57.8,158.67,9.22,11.9
roma,40.0,IT,1551658024,93.0,41.89,12.48,52.0,3.36
sinjah,,,,,,,,
baiyin,0.0,CN,1551654000,45.0,36.55,104.13,26.6,2.24
berlevag,75.0,NO,1551653400,73.0,70.86,29.09,21.2,16.11
juxtlahuaca,0.0,MX,1551658462,39.0,17.43,-99.15,78.97,2.39
staryy nadym,80.0,RU,1551658462,84.0,65.61,72.68,20.15,13.8
margate,75.0,AU,1551657975,34.0,-43.03,147.26,70.0,11.41
bolungarvik,,,,,,,,
abbeville,75.0,FR,1551658451,76.0,50.11,1.83,54.0,16.11
aneho,20.0,TG,1551654000,83.0,6.23,1.6,84.2,9.17
castro,75.0,CL,1551654000,81.0,-42.48,-73.76,53.6,5.82
kholodnyy,8.0,RU,1551658464,71.0,62.72,147.95,-18.69,2.62
qaanaaq,0.0,GL,1551657852,85.0,77.48,-69.36,-6.67,10.45
kosino,64.0,RU,1551658465,85.0,58.41,51.28,7.96,5.3
grand-santi,80.0,GF,1551658465,84.0,4.27,-54.38,75.82,4.29
alekseyevsk,0.0,RU,1551658465,65.0,57.84,108.35,2.2,2.17
hualmay,32.0,PE,1551658465,78.0,-11.1,-77.61,71.81,4.29
nyurba,24.0,RU,1551658466,66.0,63.29,118.35,2.33,4.63
presidencia roque saenz pena,0.0,AR,1551658466,54.0,-26.79,-60.44,85.4,11.79
port elizabeth,90.0,US,1551658425,100.0,39.31,-74.98,39.99,6.93
san cristobal,75.0,EC,1551657739,67.0,-0.39,-78.55,60.8,8.05
warmbad,32.0,DE,1551658419,66.0,50.67,13.08,52.0,13.87
korla,,,,,,,,
kahului,40.0,US,1551657984,44.0,20.89,-156.47,80.6,17.22
upernavik,32.0,GL,1551657932,100.0,72.79,-56.15,8.95,3.29
dicabisagan,64.0,PH,1551658468,100.0,17.08,122.42,73.43,2.73
tabory,92.0,PL,1551658264,92.0,53.89,19.53,46.99,4.97
klichka,48.0,RU,1551658469,66.0,50.44,118,17.9,4.63
dalvik,92.0,SE,1551658204,93.0,57.79,14.13,37.99,4.7
bozhou,0.0,CN,1551658469,85.0,33.86,115.78,37.03,5.41
lorengau,0.0,PG,1551657934,93.0,-2.02,147.27,84.82,5.75
bykovo,88.0,RU,1551658470,87.0,49.76,45.39,22.27,15.03
chapais,1.0,CA,1551654000,71.0,49.78,-74.86,8.6,5.82
kazalinsk,,,,,,,,
hami,0.0,CN,1551657959,61.0,42.84,93.51,22.76,5.86
kodiak,1.0,US,1551657830,20.0,39.95,-94.76,7.0,11.41
dapaong,8.0,TG,1551658471,29.0,10.86,0.2,72.31,5.75
khagrachari,,,,,,,,
cap malheureux,0.0,MU,1551658446,83.0,-19.98,57.61,80.01,1.99
cockburn town,0.0,TC,1551658472,96.0,21.46,-71.14,78.07,18.84
burnie,8.0,AU,1551658362,47.0,-41.05,145.91,77.0,5.01
henties bay,8.0,NA,1551657725,86.0,-22.12,14.28,66.99,1.01
zeya,0.0,RU,1551658473,59.0,53.74,127.27,3.68,2.28
abonnema,56.0,NG,1551658473,92.0,4.71,6.79,75.5,4.63
cherskiy,32.0,RU,1551657878,71.0,68.75,161.3,-10.72,6.76
hirara,75.0,JP,1551654000,77.0,24.8,125.28,68.0,10.29
illoqqortoormiut,,,,,,,,
thunder bay,20.0,CA,1551658311,41.0,48.41,-89.26,3.2,12.75
husavik,56.0,CA,1551657876,75.0,50.56,-96.99,-0.01,10.0
igarka,88.0,RU,1551658475,86.0,67.47,86.57,17.59,19.51
samusu,,,,,,,,
narsaq,68.0,GL,1551653400,50.0,60.91,-46.05,28.4,6.93
tutoia,88.0,BR,1551658475,93.0,-2.76,-42.27,76.85,4.63
carutapera,44.0,BR,1551658351,97.0,-1.2,-46.02,74.74,4.85
kavieng,8.0,PG,1551657880,97.0,-2.57,150.8,85.09,3.96
aklavik,75.0,CA,1551654000,51.0,68.22,-135.01,14.0,2.24
paralimni,24.0,GR,1551658469,77.0,40.99,23.67,46.0,3.0
barentsburg,,,,,,,,
lyndon,1.0,US,1551658265,50.0,38.61,-95.68,10.4,11.41
xai-xai,80.0,MZ,1551658477,100.0,-25.04,33.64,75.86,1.72
san antonio,75.0,CL,1551654000,82.0,-33.58,-71.61,62.6,8.05
havixbeck,0.0,DE,1551658455,71.0,51.98,7.41,55.0,12.75
dingle,56.0,PH,1551657951,84.0,11.0,122.67,77.62,8.1
belushya guba,,,,,,,,
puerto quijarro,0.0,BO,1551654000,66.0,-19.0,-57.72,87.8,5.82
talcahuano,0.0,CL,1551654000,72.0,-36.72,-73.12,62.6,18.34
nikolskoye,0.0,RU,1551657634,92.0,59.7,30.79,15.01,6.71
ilo,8.0,PE,1551658062,81.0,-17.65,-71.34,69.65,3.18
yulara,0.0,AU,1551654000,18.0,-25.24,130.99,87.8,12.75
nome,90.0,US,1551658473,71.0,30.04,-94.42,53.6,13.87
oktyabrskiy,0.0,RU,1551655800,92.0,55.61,37.97,21.2,2.24
candawaga,,,,,,,,
indiana,90.0,US,1551658477,100.0,40.62,-79.15,30.99,5.82
krasnoselkup,,,,,,,,
havelock,75.0,US,1551657967,87.0,34.88,-76.9,66.2,3.36
callaway,90.0,US,1551658421,76.0,46.98,-95.91,-1.0,10.29
superior,90.0,US,1551658474,77.0,39.95,-105.17,8.6,4.7
alihe,48.0,CN,1551658481,65.0,50.57,123.73,13.45,2.51
verkhnevilyuysk,68.0,RU,1551658282,71.0,63.45,120.31,0.98,5.19
port blair,0.0,IN,1551658482,100.0,11.67,92.75,80.95,3.4
cabo san lucas,5.0,MX,1551658247,32.0,22.89,-109.91,84.99,8.05
nizhneyansk,,,,,,,,
antofagasta,20.0,CL,1551654000,68.0,-23.65,-70.4,69.8,13.87
tampakan,68.0,PH,1551658482,74.0,6.44,124.93,79.15,3.4
harper,90.0,US,1551658299,63.0,30.3,-99.24,37.4,12.75
kununurra,0.0,AU,1551655800,79.0,-15.77,128.74,84.2,4.7
charters towers,24.0,AU,1551658483,85.0,-20.07,146.27,72.71,11.68
kibre mengist,24.0,ET,1551658484,62.0,5.87,38.99,58.27,2.28
adrar,0.0,DZ,1551654000,15.0,27.87,-0.29,64.4,10.29
bhainsdehi,0.0,IN,1551658484,73.0,21.65,77.63,55.93,4.41
lichinga,75.0,MZ,1551654000,100.0,-13.3,35.25,66.2,2.24
oranjestad,20.0,AW,1551657600,78.0,12.52,-70.03,78.8,20.8
sili,8.0,CN,1551658485,87.0,28.38,117.2,45.31,6.2
hasaki,75.0,JP,1551657875,100.0,35.73,140.83,51.8,16.11
keti bandar,20.0,PK,1551658486,100.0,24.14,67.45,67.0,12.57
weihe,76.0,CN,1551658486,97.0,32.99,105.33,34.55,1.95
noumea,75.0,NC,1551655800,62.0,-22.28,166.46,87.8,8.05
yerbogachen,0.0,RU,1551658486,68.0,61.28,108.01,1.43,2.62
igrim,68.0,RU,1551658490,71.0,63.19,64.42,8.23,9.44
bundaberg,40.0,AU,1551657908,69.0,-24.87,152.35,84.99,18.34
umzimvubu,,,,,,,,
lerwick,88.0,GB,1551657000,93.0,60.15,-1.15,44.6,10.29
meulaboh,0.0,ID,1551658491,100.0,4.14,96.13,78.61,3.51
shirokiy,88.0,RU,1551658447,70.0,53.87,39.17,28.99,1.99
hofn,80.0,IS,1551658492,100.0,64.25,-15.21,36.67,37.4
brae,20.0,GB,1551657000,93.0,60.4,-1.35,44.6,10.29
champerico,5.0,MX,1551653220,28.0,16.38,-93.6,96.8,6.93
vestmannaeyjar,80.0,IS,1551658416,95.0,63.44,-20.27,37.57,13.8
luganville,0.0,VU,1551658493,91.0,-15.51,167.18,84.91,7.65
letterkenny,80.0,IE,1551658493,88.0,54.95,-7.73,45.67,21.3
notre-dame-du-lac,20.0,CA,1551658378,54.0,47.61,-68.8,28.4,3.74
paamiut,0.0,GL,1551658493,100.0,61.99,-49.67,24.38,7.65
playas,48.0,EC,1551658494,79.0,-2.64,-80.39,79.87,5.75
souillac,90.0,FR,1551658329,67.0,45.6,-0.6,60.8,31.09
santa barbara,90.0,US,1551658254,82.0,34.42,-119.7,61.0,11.41
mullovka,90.0,RU,1551654000,85.0,54.22,49.39,17.6,8.95
chokurdakh,44.0,RU,1551657860,71.0,70.62,147.9,-10.41,5.86
west lafayette,90.0,US,1551658296,73.0,40.43,-86.91,23.0,10.29
ishigaki,75.0,JP,1551654000,77.0,24.34,124.16,68.0,10.29
broome,36.0,GB,1551657913,66.0,52.47,1.45,50.0,25.28
dzhusaly,,,,,,,,
nanakuli,75.0,US,1551658430,64.0,21.39,-158.15,80.6,16.11
polovinnoye,80.0,RU,1551658497,89.0,54.79,65.99,23.03,19.51
bowling green,90.0,US,1551658398,80.0,36.99,-86.44,34.0,12.75
yarmouth,20.0,GB,1551658490,75.0,50.71,-1.5,48.0,11.41
atbasar,48.0,KZ,1551658498,91.0,51.81,68.36,27.67,13.24
bosaso,92.0,SO,1551658498,100.0,11.28,49.18,76.76,2.39
gat,0.0,SN,1551655800,63.0,14.69,-16.54,66.2,18.34
victoria,75.0,BN,1551655800,100.0,5.28,115.24,78.8,4.29
naze,56.0,NG,1551658499,93.0,5.43,7.07,72.53,3.96
kieta,24.0,PG,1551657997,94.0,-6.22,155.63,82.7,2.73
monterey,90.0,US,1551658462,87.0,36.6,-121.89,57.2,10.29
belaya gora,0.0,RU,1551658500,37.0,68.54,146.19,-24.99,2.95
ambodifototra,,,,,,,,
onega,32.0,RU,1551658500,82.0,63.91,38.09,7.42,1.95
lagoa,0.0,PT,1551657737,76.0,37.14,-8.45,55.0,4.7
kongsberg,90.0,NO,1551658274,100.0,59.67,9.65,37.99,5.82
mathathane,56.0,BW,1551658501,80.0,-22.27,28.75,74.74,3.62
ucluelet,75.0,CA,1551658227,56.0,48.94,-125.55,46.0,11.41
coquimbo,20.0,CL,1551654000,77.0,-29.95,-71.34,64.4,10.29
eydhafushi,88.0,MV,1551658502,100.0,5.1,73.07,82.66,10.45
calexico,12.0,US,1551653760,25.0,32.68,-115.5,77.0,7.65
banjar,92.0,ID,1551657925,96.0,-7.37,108.54,71.59,2.73
navoi,12.0,IT,1551658452,93.0,46.17,11.83,46.99,3.36
emerald,56.0,AU,1551658023,51.0,-23.53,148.16,81.0,13.87
quang ngai,0.0,VN,1551658353,90.0,15.12,108.8,68.03,1.95
koygorodok,0.0,RU,1551658503,61.0,60.44,51.01,-8.07,2.62
torbay,90.0,CA,1551657804,92.0,47.66,-52.73,24.01,13.87
corumba,0.0,BR,1551654000,66.0,-19.0,-57.65,87.8,5.82
isangel,20.0,VU,1551658504,93.0,-19.55,169.27,84.28,6.98
wulanhaote,,,,,,,,
buala,8.0,SB,1551658505,71.0,-8.15,159.59,88.15,3.74
mortka,80.0,RU,1551658505,78.0,59.33,66.02,19.3,8.21
camapua,0.0,BR,1551658506,63.0,-19.53,-54.04,75.05,6.2
soyo,88.0,AO,1551658506,94.0,-6.13,12.37,77.66,2.51
karratha,88.0,AU,1551658506,42.0,-20.74,116.85,85.36,2.84
komsomolskiy,20.0,RU,1551657935,39.0,67.55,63.78,-13.02,5.64
aswan,0.0,EG,1551657936,68.0,24.09,32.9,46.93,2.73
ternate,20.0,PH,1551658031,83.0,14.29,120.72,82.0,4.7
luanda,20.0,AO,1551654000,83.0,-8.83,13.24,80.6,4.7
attawapiskat,,,,,,,,
satipo,32.0,PE,1551658508,91.0,-11.26,-74.64,70.24,1.5
tubinskiy,40.0,RU,1551655800,66.0,52.89,58.22,10.4,4.47
taltal,0.0,CL,1551658508,74.0,-25.41,-70.49,64.16,2.62
omsukchan,80.0,RU,1551658509,63.0,62.53,155.8,-10.23,5.64
itoman,75.0,JP,1551657792,72.0,26.12,127.67,68.0,14.99
feni,24.0,BD,1551658509,93.0,23.02,91.41,63.58,2.51
bud,24.0,NO,1551657670,86.0,62.91,6.91,37.4,8.05
hambantota,20.0,LK,1551657938,100.0,6.12,81.12,77.44,4.97
pueblo,90.0,US,1551658250,72.0,38.25,-104.61,10.4,6.93
patiya,0.0,BD,1551658510,100.0,22.3,91.98,67.45,5.19
quchan,8.0,IR,1551658510,90.0,37.11,58.51,28.66,3.62
coahuayana,68.0,MX,1551658510,28.0,18.62,-100.35,87.2,2.95
dolbeau,,,,,,,,
abu samrah,56.0,SY,1551658511,93.0,35.3,37.18,46.39,7.31
kostomuksha,0.0,RU,1551658511,58.0,64.59,30.6,-2.4,2.73
tual,64.0,ID,1551658512,100.0,-5.67,132.75,78.88,10.67
laurel,1.0,US,1551657979,54.0,45.67,-108.77,1.0,9.17
terrak,0.0,NO,1551658501,67.0,65.09,12.37,23.0,9.17
stornoway,,,,,,,,
severo-kurilsk,68.0,RU,1551657938,100.0,50.68,156.12,25.46,21.74
dabakala,0.0,CI,1551658513,50.0,8.36,-4.43,70.69,3.96
de aar,0.0,ZA,1551658513,66.0,-30.65,24.01,58.13,3.74
faya,0.0,SA,1551654000,62.0,18.39,42.45,55.4,10.29
savelugu,0.0,GH,1551658514,26.0,9.63,-0.83,77.26,8.21
conneaut,90.0,US,1551658506,92.0,41.95,-80.55,25.0,4.7
nago,12.0,IT,1551657934,75.0,45.88,10.89,50.0,2.24
yumen,0.0,CN,1551657944,62.0,40.29,97.04,18.22,4.97
vila velha,20.0,BR,1551658113,78.0,-3.71,-38.6,81.0,3.36
portland,1.0,US,1551657653,29.0,45.52,-122.67,42.01,25.28
sao felix do xingu,32.0,BR,1551658515,92.0,-6.64,-51.99,75.37,3.4
san quintin,0.0,PH,1551658515,74.0,17.54,120.52,69.25,3.62
state college,90.0,US,1551658253,100.0,40.79,-77.86,30.2,2.39
catuday,0.0,PH,1551658516,89.0,16.29,119.81,78.11,6.87
nouakchott,0.0,MR,1551655800,37.0,18.08,-15.98,66.2,9.17
yenagoa,68.0,NG,1551658516,89.0,4.92,6.26,77.48,6.76
broken hill,0.0,AU,1551654000,27.0,-31.97,141.45,86.0,5.82
homer,75.0,US,1551658238,97.0,59.64,-151.54,37.99,5.82
